rk,school,school_url,school_id,from,to,yrs,g,w,l,wl_pct,srs,sos,ap,creg,ctrn,ncaa,ff,nc
104,Dartmouth Big Green,/cbb/schools/dartmouth/,dartmouth,1900,2015,115,2720,1272,1446,.468,-11.66,-6.47,0,12,0,7,2,0
105,Davidson Wildcats,/cbb/schools/davidson/,davidson,1909,2015,106,2547,1379,1168,.541,-1.30,-2.72,6,24,12,13,0,0
106,Dayton Flyers,/cbb/schools/dayton/,dayton,1904,2015,110,2634,1561,1073,.593,5.14,3.20,7,4,2,16,1,0
107,Delaware Fightin' Blue Hens,/cbb/schools/delaware/,delaware,1906,2015,74,1760,880,879,.500,-5.24,-4.50,0,4,5,5,0,0
108,Delaware State Hornets,/cbb/schools/delaware-state/,delaware-state,1974,2015,42,1201,503,698,.419,-15.09,-9.94,0,3,1,1,0,0
109,Denison Big Red,/cbb/schools/denison/,denison,1905,1944,24,362,269,93,.743,,,0,0,0,0,0,0
110,Denver Pioneers,/cbb/schools/denver/,denver,1904,2015,92,1953,886,1067,.454,-3.45,-2.24,0,5,0,0,0,0
111,DePaul Blue Demons,/cbb/schools/depaul/,depaul,1924,2015,92,2361,1419,942,.601,7.76,6.16,12,9,0,22,2,0
112,DePauw Tigers,/cbb/schools/depauw/,depauw,1916,1932,17,276,182,94,.659,,,0,0,0,,,
113,Detroit Mercy Titans,/cbb/schools/detroit-mercy/,detroit-mercy,1910,2015,106,2524,1373,1151,.544,-0.09,0.69,2,2,3,6,0,0
114,Dickinson College Red Devils,/cbb/schools/dickinson-college/,dickinson-college,1926,1947,2,34,30,4,.882,,,0,0,0,0,0,0
115,Drake Bulldogs,/cbb/schools/drake/,drake,1907,2015,109,2593,1188,1405,.458,-0.24,2.50,5,8,1,4,1,0
116,Drexel Dragons,/cbb/schools/drexel/,drexel,1895,2015,45,1226,703,523,.573,-2.19,-4.13,0,7,4,4,0,0
117,Duke Blue Devils,/cbb/schools/duke/,duke,1906,2015,110,2915,2062,853,.707,20.86,9.10,44,22,24,39,16,5
118,Duquesne Dukes,/cbb/schools/duquesne/,duquesne,1914,2015,99,2396,1340,1056,.559,-0.86,2.25,7,3,1,5,1,0
119,East Carolina Pirates,/cbb/schools/east-carolina/,east-carolina,1967,2015,49,1387,617,770,.445,-4.04,-0.50,0,0,2,2,0,0
120,East Central Tigers,/cbb/schools/east-central/,east-central,1929,1931,3,74,66,8,.892,,,0,0,0,,,
121,East Tennessee State Buccaneers,/cbb/schools/east-tennessee-state/,east-tennessee-state,1959,2015,57,1603,847,756,.528,-3.80,-3.37,1,9,8,9,0,0
122,Eastern Illinois Panthers,/cbb/schools/eastern-illinois/,eastern-illinois,1982,2015,34,993,459,534,.462,-7.28,-4.25,0,0,3,2,0,0
123,Eastern Kentucky Colonels,/cbb/schools/eastern-kentucky/,eastern-kentucky,1948,2015,65,1729,855,874,.495,-6.66,-4.05,0,7,5,8,0,0
124,Eastern Michigan Eagles,/cbb/schools/eastern-michigan/,eastern-michigan,1933,2015,43,1255,588,667,.469,-2.39,-0.34,0,5,4,4,0,0
125,Eastern Washington Eagles,/cbb/schools/eastern-washington/,eastern-washington,1984,2015,32,915,373,542,.408,-6.76,-2.00,0,3,2,2,0,0
126,Elon Phoenix,/cbb/schools/elon/,elon,2000,2015,16,489,206,283,.421,-9.41,-4.35,0,2,0,0,0,0
127,Emporia State Hornets,/cbb/schools/emporia-state/,emporia-state,1934,1934,1,18,17,1,.944,,,0,0,0,,,
128,Evansville Purple Aces,/cbb/schools/evansville/,evansville,1925,2015,42,1174,638,536,.543,1.86,1.03,0,6,4,5,0,0
129,Fairfield Stags,/cbb/schools/fairfield/,fairfield,1965,2015,51,1445,706,739,.489,-4.78,-2.61,0,3,3,3,0,0
