year,school_id,school_name,week,rank
1997,iowa,Iowa Hawkeyes,12/24,
1997,iowa,Iowa Hawkeyes,12/31,
1997,iowa,Iowa Hawkeyes,1/7,
1997,iowa,Iowa Hawkeyes,1/14,
1997,iowa,Iowa Hawkeyes,1/21,
1997,iowa,Iowa Hawkeyes,1/28,
1997,iowa,Iowa Hawkeyes,2/4,25
1997,iowa,Iowa Hawkeyes,2/11,
1997,iowa,Iowa Hawkeyes,2/18,
1997,iowa,Iowa Hawkeyes,2/25,
1997,iowa,Iowa Hawkeyes,3/4,
1997,iowa,Iowa Hawkeyes,Final,
1996,iowa,Iowa Hawkeyes,Pre,8
1996,iowa,Iowa Hawkeyes,11/20,10
1996,iowa,Iowa Hawkeyes,11/27,11
1996,iowa,Iowa Hawkeyes,12/4,12
1996,iowa,Iowa Hawkeyes,12/11,9
1996,iowa,Iowa Hawkeyes,12/18,10
1996,iowa,Iowa Hawkeyes,12/26,10
1996,iowa,Iowa Hawkeyes,1/2,10
1996,iowa,Iowa Hawkeyes,1/8,11
1996,iowa,Iowa Hawkeyes,1/15,16
1996,iowa,Iowa Hawkeyes,1/22,22
1996,iowa,Iowa Hawkeyes,1/29,16
1996,iowa,Iowa Hawkeyes,2/5,19
1996,iowa,Iowa Hawkeyes,2/12,19
1996,iowa,Iowa Hawkeyes,2/19,18
1996,iowa,Iowa Hawkeyes,2/26,20
1996,iowa,Iowa Hawkeyes,3/5,19
1996,iowa,Iowa Hawkeyes,Final,21
1995,iowa,Iowa Hawkeyes,Pre,
1995,iowa,Iowa Hawkeyes,11/21,
1995,iowa,Iowa Hawkeyes,11/28,
1995,iowa,Iowa Hawkeyes,12/5,
1995,iowa,Iowa Hawkeyes,12/12,
1995,iowa,Iowa Hawkeyes,12/19,
1995,iowa,Iowa Hawkeyes,12/26,
1995,iowa,Iowa Hawkeyes,1/2,22
1995,iowa,Iowa Hawkeyes,1/9,19
1995,iowa,Iowa Hawkeyes,1/16,
1995,iowa,Iowa Hawkeyes,1/23,
1995,iowa,Iowa Hawkeyes,1/30,
1995,iowa,Iowa Hawkeyes,2/6,
1995,iowa,Iowa Hawkeyes,2/13,
1995,iowa,Iowa Hawkeyes,2/20,
1995,iowa,Iowa Hawkeyes,2/27,
1995,iowa,Iowa Hawkeyes,3/6,
1995,iowa,Iowa Hawkeyes,Final,
1993,iowa,Iowa Hawkeyes,Pre,11
1993,iowa,Iowa Hawkeyes,11/23,11
1993,iowa,Iowa Hawkeyes,11/30,10
1993,iowa,Iowa Hawkeyes,12/7,8
1993,iowa,Iowa Hawkeyes,12/14,8
1993,iowa,Iowa Hawkeyes,12/21,8
1993,iowa,Iowa Hawkeyes,12/28,8
1993,iowa,Iowa Hawkeyes,1/4,8
1993,iowa,Iowa Hawkeyes,1/11,13
1993,iowa,Iowa Hawkeyes,1/18,14
1993,iowa,Iowa Hawkeyes,1/25,11
1993,iowa,Iowa Hawkeyes,2/1,9
1993,iowa,Iowa Hawkeyes,2/8,13
1993,iowa,Iowa Hawkeyes,2/15,20
1993,iowa,Iowa Hawkeyes,2/22,18
1993,iowa,Iowa Hawkeyes,3/1,15
1993,iowa,Iowa Hawkeyes,3/8,17
1993,iowa,Iowa Hawkeyes,Final,13
1992,iowa,Iowa Hawkeyes,Pre,21
1992,iowa,Iowa Hawkeyes,11/25,21
1992,iowa,Iowa Hawkeyes,12/2,21
1992,iowa,Iowa Hawkeyes,12/9,16
1992,iowa,Iowa Hawkeyes,12/16,22
1992,iowa,Iowa Hawkeyes,12/23,23
1992,iowa,Iowa Hawkeyes,12/30,
1992,iowa,Iowa Hawkeyes,1/6,
1992,iowa,Iowa Hawkeyes,1/13,
1992,iowa,Iowa Hawkeyes,1/20,
1992,iowa,Iowa Hawkeyes,1/27,
1992,iowa,Iowa Hawkeyes,2/3,
1992,iowa,Iowa Hawkeyes,2/10,
1992,iowa,Iowa Hawkeyes,2/17,
1992,iowa,Iowa Hawkeyes,2/24,
1992,iowa,Iowa Hawkeyes,3/2,
1992,iowa,Iowa Hawkeyes,3/9,
1992,iowa,Iowa Hawkeyes,Final,
1991,iowa,Iowa Hawkeyes,Pre,
1991,iowa,Iowa Hawkeyes,11/27,
1991,iowa,Iowa Hawkeyes,12/4,
1991,iowa,Iowa Hawkeyes,12/11,
1991,iowa,Iowa Hawkeyes,12/18,
1991,iowa,Iowa Hawkeyes,12/25,23
1991,iowa,Iowa Hawkeyes,1/1,22
1991,iowa,Iowa Hawkeyes,1/8,22
1991,iowa,Iowa Hawkeyes,1/15,24
1991,iowa,Iowa Hawkeyes,1/22,
1991,iowa,Iowa Hawkeyes,1/29,
1991,iowa,Iowa Hawkeyes,2/5,
1991,iowa,Iowa Hawkeyes,2/12,
1991,iowa,Iowa Hawkeyes,2/19,
1991,iowa,Iowa Hawkeyes,2/26,
1991,iowa,Iowa Hawkeyes,3/5,
1991,iowa,Iowa Hawkeyes,Final,
1990,iowa,Iowa Hawkeyes,Pre,
1990,iowa,Iowa Hawkeyes,11/27,
1990,iowa,Iowa Hawkeyes,12/5,
1990,iowa,Iowa Hawkeyes,12/12,21
1990,iowa,Iowa Hawkeyes,12/19,16
1990,iowa,Iowa Hawkeyes,12/26,18
1990,iowa,Iowa Hawkeyes,1/2,20
1990,iowa,Iowa Hawkeyes,1/9,
1990,iowa,Iowa Hawkeyes,1/16,
1990,iowa,Iowa Hawkeyes,1/23,
1990,iowa,Iowa Hawkeyes,1/30,
1990,iowa,Iowa Hawkeyes,2/6,
1990,iowa,Iowa Hawkeyes,2/13,
1990,iowa,Iowa Hawkeyes,2/20,
1990,iowa,Iowa Hawkeyes,2/27,
1990,iowa,Iowa Hawkeyes,3/6,
1990,iowa,Iowa Hawkeyes,Final,
1989,iowa,Iowa Hawkeyes,Pre,7
1989,iowa,Iowa Hawkeyes,11/22,7
1989,iowa,Iowa Hawkeyes,11/29,6
1989,iowa,Iowa Hawkeyes,12/6,5
1989,iowa,Iowa Hawkeyes,12/13,4
1989,iowa,Iowa Hawkeyes,12/20,4
1989,iowa,Iowa Hawkeyes,12/27,9
1989,iowa,Iowa Hawkeyes,1/3,9
1989,iowa,Iowa Hawkeyes,1/10,5
1989,iowa,Iowa Hawkeyes,1/17,7
1989,iowa,Iowa Hawkeyes,1/24,12
1989,iowa,Iowa Hawkeyes,1/31,9
1989,iowa,Iowa Hawkeyes,2/7,8
1989,iowa,Iowa Hawkeyes,2/14,15
1989,iowa,Iowa Hawkeyes,2/21,14
1989,iowa,Iowa Hawkeyes,2/28,11
1989,iowa,Iowa Hawkeyes,3/7,15
1989,iowa,Iowa Hawkeyes,Final,14
1988,iowa,Iowa Hawkeyes,Pre,11
1988,iowa,Iowa Hawkeyes,12/1,6
1988,iowa,Iowa Hawkeyes,12/8,3
1988,iowa,Iowa Hawkeyes,12/15,7
1988,iowa,Iowa Hawkeyes,12/22,14
1988,iowa,Iowa Hawkeyes,12/29,14
1988,iowa,Iowa Hawkeyes,1/5,16
1988,iowa,Iowa Hawkeyes,1/12,17
1988,iowa,Iowa Hawkeyes,1/19,19
1988,iowa,Iowa Hawkeyes,1/26,16
1988,iowa,Iowa Hawkeyes,2/2,13
1988,iowa,Iowa Hawkeyes,2/9,13
1988,iowa,Iowa Hawkeyes,2/16,13
1988,iowa,Iowa Hawkeyes,2/23,13
1988,iowa,Iowa Hawkeyes,3/1,11
1988,iowa,Iowa Hawkeyes,3/8,15
1988,iowa,Iowa Hawkeyes,Final,17
1987,iowa,Iowa Hawkeyes,Pre,10
1987,iowa,Iowa Hawkeyes,12/2,5
1987,iowa,Iowa Hawkeyes,12/9,4
1987,iowa,Iowa Hawkeyes,12/16,3
1987,iowa,Iowa Hawkeyes,12/23,3
1987,iowa,Iowa Hawkeyes,12/30,3
1987,iowa,Iowa Hawkeyes,1/6,2
1987,iowa,Iowa Hawkeyes,1/13,2
1987,iowa,Iowa Hawkeyes,1/20,1
1987,iowa,Iowa Hawkeyes,1/27,2
1987,iowa,Iowa Hawkeyes,2/3,4
1987,iowa,Iowa Hawkeyes,2/10,4
1987,iowa,Iowa Hawkeyes,2/17,7
1987,iowa,Iowa Hawkeyes,2/24,7
1987,iowa,Iowa Hawkeyes,3/3,6
1987,iowa,Iowa Hawkeyes,Final,6
1986,iowa,Iowa Hawkeyes,Pre,
1986,iowa,Iowa Hawkeyes,11/26,
1986,iowa,Iowa Hawkeyes,12/3,18
1986,iowa,Iowa Hawkeyes,12/10,
1986,iowa,Iowa Hawkeyes,12/17,
1986,iowa,Iowa Hawkeyes,12/24,
1986,iowa,Iowa Hawkeyes,12/31,
1986,iowa,Iowa Hawkeyes,1/7,
1986,iowa,Iowa Hawkeyes,1/14,
1986,iowa,Iowa Hawkeyes,1/21,
1986,iowa,Iowa Hawkeyes,1/28,
1986,iowa,Iowa Hawkeyes,2/4,
1986,iowa,Iowa Hawkeyes,2/11,
1986,iowa,Iowa Hawkeyes,2/18,
1986,iowa,Iowa Hawkeyes,2/25,
1986,iowa,Iowa Hawkeyes,3/4,
1986,iowa,Iowa Hawkeyes,Final,
1985,iowa,Iowa Hawkeyes,Pre,
1985,iowa,Iowa Hawkeyes,11/27,
1985,iowa,Iowa Hawkeyes,12/4,
1985,iowa,Iowa Hawkeyes,12/11,
1985,iowa,Iowa Hawkeyes,12/18,
1985,iowa,Iowa Hawkeyes,12/25,
1985,iowa,Iowa Hawkeyes,1/1,
1985,iowa,Iowa Hawkeyes,1/8,19
1985,iowa,Iowa Hawkeyes,1/15,
1985,iowa,Iowa Hawkeyes,1/22,
1985,iowa,Iowa Hawkeyes,1/29,
1985,iowa,Iowa Hawkeyes,2/5,12
1985,iowa,Iowa Hawkeyes,2/12,11
1985,iowa,Iowa Hawkeyes,2/19,14
1985,iowa,Iowa Hawkeyes,2/26,
1985,iowa,Iowa Hawkeyes,3/5,
1985,iowa,Iowa Hawkeyes,Final,
1984,iowa,Iowa Hawkeyes,Pre,7
1984,iowa,Iowa Hawkeyes,11/29,5
1984,iowa,Iowa Hawkeyes,12/6,5
1984,iowa,Iowa Hawkeyes,12/13,18
1984,iowa,Iowa Hawkeyes,12/20,
1984,iowa,Iowa Hawkeyes,12/27,
1984,iowa,Iowa Hawkeyes,1/3,
1984,iowa,Iowa Hawkeyes,1/10,
1984,iowa,Iowa Hawkeyes,1/17,
1984,iowa,Iowa Hawkeyes,1/24,
1984,iowa,Iowa Hawkeyes,1/31,
1984,iowa,Iowa Hawkeyes,2/7,
1984,iowa,Iowa Hawkeyes,2/14,
1984,iowa,Iowa Hawkeyes,2/21,
1984,iowa,Iowa Hawkeyes,2/28,
1984,iowa,Iowa Hawkeyes,3/6,
1984,iowa,Iowa Hawkeyes,Final,
1983,iowa,Iowa Hawkeyes,Pre,11
1983,iowa,Iowa Hawkeyes,11/30,10
1983,iowa,Iowa Hawkeyes,12/7,7
1983,iowa,Iowa Hawkeyes,12/14,7
1983,iowa,Iowa Hawkeyes,12/21,10
1983,iowa,Iowa Hawkeyes,12/28,9
1983,iowa,Iowa Hawkeyes,1/4,8
1983,iowa,Iowa Hawkeyes,1/11,12
1983,iowa,Iowa Hawkeyes,1/18,10
1983,iowa,Iowa Hawkeyes,1/25,14
1983,iowa,Iowa Hawkeyes,2/1,13
1983,iowa,Iowa Hawkeyes,2/8,20
1983,iowa,Iowa Hawkeyes,2/15,16
1983,iowa,Iowa Hawkeyes,2/22,17
1983,iowa,Iowa Hawkeyes,3/1,
1983,iowa,Iowa Hawkeyes,3/8,
1983,iowa,Iowa Hawkeyes,Final,
1982,iowa,Iowa Hawkeyes,Pre,9
1982,iowa,Iowa Hawkeyes,12/1,6
1982,iowa,Iowa Hawkeyes,12/8,6
1982,iowa,Iowa Hawkeyes,12/15,6
1982,iowa,Iowa Hawkeyes,12/22,10
1982,iowa,Iowa Hawkeyes,12/29,10
1982,iowa,Iowa Hawkeyes,1/5,7
1982,iowa,Iowa Hawkeyes,1/12,5
1982,iowa,Iowa Hawkeyes,1/19,6
1982,iowa,Iowa Hawkeyes,1/26,6
1982,iowa,Iowa Hawkeyes,2/2,5
1982,iowa,Iowa Hawkeyes,2/9,5
1982,iowa,Iowa Hawkeyes,2/16,7
1982,iowa,Iowa Hawkeyes,2/23,11
1982,iowa,Iowa Hawkeyes,3/2,11
1982,iowa,Iowa Hawkeyes,Final,16
1981,iowa,Iowa Hawkeyes,Pre,14
1981,iowa,Iowa Hawkeyes,12/2,12
1981,iowa,Iowa Hawkeyes,12/9,16
1981,iowa,Iowa Hawkeyes,12/16,16
1981,iowa,Iowa Hawkeyes,12/23,14
1981,iowa,Iowa Hawkeyes,12/30,14
1981,iowa,Iowa Hawkeyes,1/6,11
1981,iowa,Iowa Hawkeyes,1/13,14
1981,iowa,Iowa Hawkeyes,1/20,9
1981,iowa,Iowa Hawkeyes,1/27,13
1981,iowa,Iowa Hawkeyes,2/3,15
1981,iowa,Iowa Hawkeyes,2/10,14
1981,iowa,Iowa Hawkeyes,2/17,12
1981,iowa,Iowa Hawkeyes,2/24,8
1981,iowa,Iowa Hawkeyes,3/3,8
1981,iowa,Iowa Hawkeyes,Final,13
1980,iowa,Iowa Hawkeyes,Pre,
1980,iowa,Iowa Hawkeyes,12/4,20
1980,iowa,Iowa Hawkeyes,12/11,17
1980,iowa,Iowa Hawkeyes,12/18,13
1980,iowa,Iowa Hawkeyes,12/26,11
1980,iowa,Iowa Hawkeyes,1/2,10
1980,iowa,Iowa Hawkeyes,1/8,12
1980,iowa,Iowa Hawkeyes,1/15,13
1980,iowa,Iowa Hawkeyes,1/22,
1980,iowa,Iowa Hawkeyes,1/29,
1980,iowa,Iowa Hawkeyes,2/5,
1980,iowa,Iowa Hawkeyes,2/12,20
1980,iowa,Iowa Hawkeyes,2/19,
1980,iowa,Iowa Hawkeyes,2/26,
1980,iowa,Iowa Hawkeyes,Final,
1979,iowa,Iowa Hawkeyes,Pre,
1979,iowa,Iowa Hawkeyes,11/28,
1979,iowa,Iowa Hawkeyes,12/5,
1979,iowa,Iowa Hawkeyes,12/12,
1979,iowa,Iowa Hawkeyes,12/19,
1979,iowa,Iowa Hawkeyes,12/26,
1979,iowa,Iowa Hawkeyes,1/3,
1979,iowa,Iowa Hawkeyes,1/9,
1979,iowa,Iowa Hawkeyes,1/16,
1979,iowa,Iowa Hawkeyes,1/23,
1979,iowa,Iowa Hawkeyes,1/30,
1979,iowa,Iowa Hawkeyes,2/6,15
1979,iowa,Iowa Hawkeyes,2/13,14
1979,iowa,Iowa Hawkeyes,2/20,12
1979,iowa,Iowa Hawkeyes,2/27,11
1979,iowa,Iowa Hawkeyes,3/6,14
1979,iowa,Iowa Hawkeyes,Final,20
1970,iowa,Iowa Hawkeyes,Pre,
1970,iowa,Iowa Hawkeyes,12/9,
1970,iowa,Iowa Hawkeyes,12/16,
1970,iowa,Iowa Hawkeyes,12/23,
1970,iowa,Iowa Hawkeyes,12/30,
1970,iowa,Iowa Hawkeyes,1/6,
1970,iowa,Iowa Hawkeyes,1/13,
1970,iowa,Iowa Hawkeyes,1/20,18
1970,iowa,Iowa Hawkeyes,1/27,20
1970,iowa,Iowa Hawkeyes,2/3,20
1970,iowa,Iowa Hawkeyes,2/10,14
1970,iowa,Iowa Hawkeyes,2/17,11
1970,iowa,Iowa Hawkeyes,2/24,9
1970,iowa,Iowa Hawkeyes,3/3,8
1970,iowa,Iowa Hawkeyes,Final,7
1969,iowa,Iowa Hawkeyes,Pre,
1969,iowa,Iowa Hawkeyes,12/3,20
1969,iowa,Iowa Hawkeyes,12/10,19
1969,iowa,Iowa Hawkeyes,12/17,
1969,iowa,Iowa Hawkeyes,12/24,
1969,iowa,Iowa Hawkeyes,12/31,
1969,iowa,Iowa Hawkeyes,1/7,
1969,iowa,Iowa Hawkeyes,1/14,
1969,iowa,Iowa Hawkeyes,1/21,
1969,iowa,Iowa Hawkeyes,1/28,
1969,iowa,Iowa Hawkeyes,2/4,
1969,iowa,Iowa Hawkeyes,2/11,
1969,iowa,Iowa Hawkeyes,2/18,
1969,iowa,Iowa Hawkeyes,2/25,
1969,iowa,Iowa Hawkeyes,Final,
1966,iowa,Iowa Hawkeyes,Pre,
1966,iowa,Iowa Hawkeyes,12/7,
1966,iowa,Iowa Hawkeyes,12/14,
1966,iowa,Iowa Hawkeyes,12/21,9
1966,iowa,Iowa Hawkeyes,12/28,4
1966,iowa,Iowa Hawkeyes,1/4,7
1966,iowa,Iowa Hawkeyes,1/11,
1966,iowa,Iowa Hawkeyes,1/18,
1966,iowa,Iowa Hawkeyes,1/25,
1966,iowa,Iowa Hawkeyes,2/1,
1966,iowa,Iowa Hawkeyes,2/8,
1966,iowa,Iowa Hawkeyes,2/15,
1966,iowa,Iowa Hawkeyes,2/22,
1966,iowa,Iowa Hawkeyes,3/1,
1966,iowa,Iowa Hawkeyes,Final,
1961,iowa,Iowa Hawkeyes,12/13,
1961,iowa,Iowa Hawkeyes,12/20,
1961,iowa,Iowa Hawkeyes,12/27,
1961,iowa,Iowa Hawkeyes,1/3,7
1961,iowa,Iowa Hawkeyes,1/10,6
1961,iowa,Iowa Hawkeyes,1/17,4
1961,iowa,Iowa Hawkeyes,1/24,6
1961,iowa,Iowa Hawkeyes,1/31,6
1961,iowa,Iowa Hawkeyes,2/7,9
1961,iowa,Iowa Hawkeyes,2/14,9
1961,iowa,Iowa Hawkeyes,2/21,5
1961,iowa,Iowa Hawkeyes,2/28,6
1961,iowa,Iowa Hawkeyes,Final,8
1960,iowa,Iowa Hawkeyes,12/22,19
1960,iowa,Iowa Hawkeyes,12/29,14
1960,iowa,Iowa Hawkeyes,1/5,
1960,iowa,Iowa Hawkeyes,1/12,
1960,iowa,Iowa Hawkeyes,1/19,15
1960,iowa,Iowa Hawkeyes,1/26,
1960,iowa,Iowa Hawkeyes,2/2,
1960,iowa,Iowa Hawkeyes,2/9,
1960,iowa,Iowa Hawkeyes,2/16,
1960,iowa,Iowa Hawkeyes,2/23,
1960,iowa,Iowa Hawkeyes,3/1,
1960,iowa,Iowa Hawkeyes,Final,
1956,iowa,Iowa Hawkeyes,12/6,4
1956,iowa,Iowa Hawkeyes,12/13,4
1956,iowa,Iowa Hawkeyes,12/20,10
1956,iowa,Iowa Hawkeyes,12/27,6
1956,iowa,Iowa Hawkeyes,1/3,
1956,iowa,Iowa Hawkeyes,1/10,
1956,iowa,Iowa Hawkeyes,1/17,20
1956,iowa,Iowa Hawkeyes,1/24,13
1956,iowa,Iowa Hawkeyes,1/31,19
1956,iowa,Iowa Hawkeyes,2/7,17
1956,iowa,Iowa Hawkeyes,2/14,15
1956,iowa,Iowa Hawkeyes,2/21,13
1956,iowa,Iowa Hawkeyes,2/28,10
1956,iowa,Iowa Hawkeyes,3/6,5
1956,iowa,Iowa Hawkeyes,Final,4
1955,iowa,Iowa Hawkeyes,12/7,4
1955,iowa,Iowa Hawkeyes,12/14,13
1955,iowa,Iowa Hawkeyes,12/21,20
1955,iowa,Iowa Hawkeyes,12/28,19
1955,iowa,Iowa Hawkeyes,1/4,14
1955,iowa,Iowa Hawkeyes,1/11,19
1955,iowa,Iowa Hawkeyes,1/18,19
1955,iowa,Iowa Hawkeyes,1/25,19
1955,iowa,Iowa Hawkeyes,2/1,
1955,iowa,Iowa Hawkeyes,2/8,15
1955,iowa,Iowa Hawkeyes,2/15,15
1955,iowa,Iowa Hawkeyes,2/22,16
1955,iowa,Iowa Hawkeyes,3/1,12
1955,iowa,Iowa Hawkeyes,Final,5
1954,iowa,Iowa Hawkeyes,12/8,
1954,iowa,Iowa Hawkeyes,12/15,
1954,iowa,Iowa Hawkeyes,12/22,
1954,iowa,Iowa Hawkeyes,12/29,
1954,iowa,Iowa Hawkeyes,1/5,
1954,iowa,Iowa Hawkeyes,1/12,
1954,iowa,Iowa Hawkeyes,1/19,
1954,iowa,Iowa Hawkeyes,1/26,
1954,iowa,Iowa Hawkeyes,2/2,
1954,iowa,Iowa Hawkeyes,2/9,
1954,iowa,Iowa Hawkeyes,2/16,10
1954,iowa,Iowa Hawkeyes,2/23,20
1954,iowa,Iowa Hawkeyes,3/2,16
1954,iowa,Iowa Hawkeyes,3/9,16
1954,iowa,Iowa Hawkeyes,Final,13
1952,iowa,Iowa Hawkeyes,12/10,
1952,iowa,Iowa Hawkeyes,12/17,
1952,iowa,Iowa Hawkeyes,12/25,
1952,iowa,Iowa Hawkeyes,1/1,12
1952,iowa,Iowa Hawkeyes,1/8,10
1952,iowa,Iowa Hawkeyes,1/15,4
1952,iowa,Iowa Hawkeyes,1/22,4
1952,iowa,Iowa Hawkeyes,1/29,8
1952,iowa,Iowa Hawkeyes,2/5,9
1952,iowa,Iowa Hawkeyes,2/12,5
1952,iowa,Iowa Hawkeyes,2/19,4
1952,iowa,Iowa Hawkeyes,2/26,7
1952,iowa,Iowa Hawkeyes,Final,7
2014,iowa-state,Iowa State Cyclones,Pre,
2014,iowa-state,Iowa State Cyclones,11/11,
2014,iowa-state,Iowa State Cyclones,11/18,21
2014,iowa-state,Iowa State Cyclones,11/25,17
2014,iowa-state,Iowa State Cyclones,12/2,17
2014,iowa-state,Iowa State Cyclones,12/9,17
2014,iowa-state,Iowa State Cyclones,12/16,17
2014,iowa-state,Iowa State Cyclones,12/23,14
2014,iowa-state,Iowa State Cyclones,12/30,13
2014,iowa-state,Iowa State Cyclones,1/6,9
2014,iowa-state,Iowa State Cyclones,1/13,8
2014,iowa-state,Iowa State Cyclones,1/20,16
2014,iowa-state,Iowa State Cyclones,1/27,16
2014,iowa-state,Iowa State Cyclones,2/3,16
2014,iowa-state,Iowa State Cyclones,2/10,11
2014,iowa-state,Iowa State Cyclones,2/17,17
2014,iowa-state,Iowa State Cyclones,2/24,15
2014,iowa-state,Iowa State Cyclones,3/3,16
2014,iowa-state,Iowa State Cyclones,3/10,16
2014,iowa-state,Iowa State Cyclones,Final,9
2012,iowa-state,Iowa State Cyclones,Pre,
2012,iowa-state,Iowa State Cyclones,11/14,
2012,iowa-state,Iowa State Cyclones,11/21,
2012,iowa-state,Iowa State Cyclones,11/28,
2012,iowa-state,Iowa State Cyclones,12/5,
2012,iowa-state,Iowa State Cyclones,12/12,
2012,iowa-state,Iowa State Cyclones,12/19,
2012,iowa-state,Iowa State Cyclones,12/26,
2012,iowa-state,Iowa State Cyclones,1/2,
2012,iowa-state,Iowa State Cyclones,1/9,
2012,iowa-state,Iowa State Cyclones,1/16,
2012,iowa-state,Iowa State Cyclones,1/23,
2012,iowa-state,Iowa State Cyclones,1/30,
2012,iowa-state,Iowa State Cyclones,2/6,
2012,iowa-state,Iowa State Cyclones,2/13,
2012,iowa-state,Iowa State Cyclones,2/20,
2012,iowa-state,Iowa State Cyclones,2/27,
2012,iowa-state,Iowa State Cyclones,3/5,25
2012,iowa-state,Iowa State Cyclones,Final,
2006,iowa-state,Iowa State Cyclones,Pre,25
2006,iowa-state,Iowa State Cyclones,11/15,25
2006,iowa-state,Iowa State Cyclones,11/22,
2006,iowa-state,Iowa State Cyclones,11/29,
2006,iowa-state,Iowa State Cyclones,12/6,
2006,iowa-state,Iowa State Cyclones,12/13,
2006,iowa-state,Iowa State Cyclones,12/20,
2006,iowa-state,Iowa State Cyclones,12/27,
2006,iowa-state,Iowa State Cyclones,1/3,
2006,iowa-state,Iowa State Cyclones,1/10,
2006,iowa-state,Iowa State Cyclones,1/17,
2006,iowa-state,Iowa State Cyclones,1/24,
2006,iowa-state,Iowa State Cyclones,1/31,
2006,iowa-state,Iowa State Cyclones,2/7,
2006,iowa-state,Iowa State Cyclones,2/14,
2006,iowa-state,Iowa State Cyclones,2/21,
2006,iowa-state,Iowa State Cyclones,2/28,
2006,iowa-state,Iowa State Cyclones,3/7,
2006,iowa-state,Iowa State Cyclones,Final,
2001,iowa-state,Iowa State Cyclones,Pre,25
2001,iowa-state,Iowa State Cyclones,11/14,
2001,iowa-state,Iowa State Cyclones,11/21,
2001,iowa-state,Iowa State Cyclones,11/28,
2001,iowa-state,Iowa State Cyclones,12/5,25
2001,iowa-state,Iowa State Cyclones,12/12,
2001,iowa-state,Iowa State Cyclones,12/19,
2001,iowa-state,Iowa State Cyclones,12/26,25
2001,iowa-state,Iowa State Cyclones,1/2,23
2001,iowa-state,Iowa State Cyclones,1/9,18
2001,iowa-state,Iowa State Cyclones,1/16,23
2001,iowa-state,Iowa State Cyclones,1/23,17
2001,iowa-state,Iowa State Cyclones,1/30,15
2001,iowa-state,Iowa State Cyclones,2/6,12
2001,iowa-state,Iowa State Cyclones,2/13,7
2001,iowa-state,Iowa State Cyclones,2/20,6
2001,iowa-state,Iowa State Cyclones,2/27,8
2001,iowa-state,Iowa State Cyclones,3/6,7
2001,iowa-state,Iowa State Cyclones,Final,10
2000,iowa-state,Iowa State Cyclones,Pre,
2000,iowa-state,Iowa State Cyclones,11/16,
2000,iowa-state,Iowa State Cyclones,11/23,
2000,iowa-state,Iowa State Cyclones,11/30,
2000,iowa-state,Iowa State Cyclones,12/7,
2000,iowa-state,Iowa State Cyclones,12/14,
2000,iowa-state,Iowa State Cyclones,12/21,
2000,iowa-state,Iowa State Cyclones,12/28,
2000,iowa-state,Iowa State Cyclones,1/4,
2000,iowa-state,Iowa State Cyclones,1/11,
2000,iowa-state,Iowa State Cyclones,1/18,
2000,iowa-state,Iowa State Cyclones,1/25,
2000,iowa-state,Iowa State Cyclones,2/1,20
2000,iowa-state,Iowa State Cyclones,2/8,17
2000,iowa-state,Iowa State Cyclones,2/15,14
2000,iowa-state,Iowa State Cyclones,2/22,17
2000,iowa-state,Iowa State Cyclones,2/29,10
2000,iowa-state,Iowa State Cyclones,3/7,7
2000,iowa-state,Iowa State Cyclones,Final,6
1997,iowa-state,Iowa State Cyclones,Pre,11
1997,iowa-state,Iowa State Cyclones,11/19,11
1997,iowa-state,Iowa State Cyclones,11/26,9
1997,iowa-state,Iowa State Cyclones,12/3,9
1997,iowa-state,Iowa State Cyclones,12/10,6
1997,iowa-state,Iowa State Cyclones,12/17,5
1997,iowa-state,Iowa State Cyclones,12/24,5
1997,iowa-state,Iowa State Cyclones,12/31,4
1997,iowa-state,Iowa State Cyclones,1/7,4
1997,iowa-state,Iowa State Cyclones,1/14,8
1997,iowa-state,Iowa State Cyclones,1/21,14
1997,iowa-state,Iowa State Cyclones,1/28,11
1997,iowa-state,Iowa State Cyclones,2/4,6
1997,iowa-state,Iowa State Cyclones,2/11,9
1997,iowa-state,Iowa State Cyclones,2/18,7
1997,iowa-state,Iowa State Cyclones,2/25,13
1997,iowa-state,Iowa State Cyclones,3/4,16
1997,iowa-state,Iowa State Cyclones,Final,18
1996,iowa-state,Iowa State Cyclones,Pre,
1996,iowa-state,Iowa State Cyclones,11/20,
1996,iowa-state,Iowa State Cyclones,11/27,
1996,iowa-state,Iowa State Cyclones,12/4,
1996,iowa-state,Iowa State Cyclones,12/11,
1996,iowa-state,Iowa State Cyclones,12/18,
1996,iowa-state,Iowa State Cyclones,12/26,
1996,iowa-state,Iowa State Cyclones,1/2,
1996,iowa-state,Iowa State Cyclones,1/8,
1996,iowa-state,Iowa State Cyclones,1/15,
1996,iowa-state,Iowa State Cyclones,1/22,
1996,iowa-state,Iowa State Cyclones,1/29,
1996,iowa-state,Iowa State Cyclones,2/5,21
1996,iowa-state,Iowa State Cyclones,2/12,22
1996,iowa-state,Iowa State Cyclones,2/19,22
1996,iowa-state,Iowa State Cyclones,2/26,23
1996,iowa-state,Iowa State Cyclones,3/5,23
1996,iowa-state,Iowa State Cyclones,Final,17
1995,iowa-state,Iowa State Cyclones,Pre,
1995,iowa-state,Iowa State Cyclones,11/21,
1995,iowa-state,Iowa State Cyclones,11/28,
1995,iowa-state,Iowa State Cyclones,12/5,
1995,iowa-state,Iowa State Cyclones,12/12,
