Adrian,4,2003,"Moulik, Sarah",294390,Fr.,2002-03,-,-,17,1,9,11.111,0,5,-,5,7,71.429,6,0.353,3,0.176,0,-,1,0.059,7,0.412,-,-,-
Adrian,4,2003,"Opsal, Ashley",294392,Fr.,2002-03,-,-,6,2,7,28.571,0,1,-,0,0,-,1,0.167,0,-,0,-,1,0.167,4,0.667,-,-,-
Adrian,4,2003,"Petre, Rachael",294393,Fr.,2002-03,-,-,26,92,208,44.231,1,2,50.000,54,73,73.973,112,4.308,14,0.538,1,0.038,20,0.769,239,9.192,-,-,-
Adrian,4,2003,"Psaute, Anna",294396,Fr.,2002-03,-,-,26,51,138,36.957,0,11,-,21,29,72.414,140,5.385,25,0.962,6,0.231,35,1.346,123,4.731,-,-,-
Adrian,4,2003,"Rainsberger, Amanda",294395,Fr.,2002-03,-,-,26,60,103,58.252,0,0,-,17,23,73.913,95,3.654,17,0.654,18,0.692,9,0.346,137,5.269,-,-,-
Adrian,4,2003,"Smith, Krystal",294391,Fr.,2002-03,-,-,5,2,6,33.333,0,2,-,2,2,100.000,2,0.400,1,0.200,0,-,1,0.200,6,1.200,-,-,-
Adrian,4,2003,"Steele, Fallon",294394,Fr.,2002-03,-,-,13,2,12,16.667,2,9,22.222,1,4,25.000,11,0.846,3,0.231,0,-,2,0.154,7,0.538,-,-,-
Adrian,4,2003,"Suszko, Machele",294397,Fr.,2002-03,-,-,15,19,40,47.500,0,0,-,2,3,66.667,40,2.667,8,0.533,2,0.133,7,0.467,40,2.667,-,-,-
Adrian,4,2003,"Vincke, Sarah",66232,Sr.,2002-03,-,-,26,137,333,41.141,72,181,39.779,57,69,82.609,81,3.115,21,0.808,1,0.038,20,0.769,403,15.500,-,-,-
Adrian,4,2003,"Wente, Leslie",294389,Fr.,2002-03,-,-,26,13,45,28.889,8,31,25.806,7,8,87.500,26,1.000,27,1.038,0,-,6,0.231,41,1.577,-,-,-
Agnes Scott,11324,2003,"Banks, Amber",283486,Fr.,2002-03,F,5-9,19,47,186,25.269,5,25,20.000,55,112,49.107,92,4.842,20,1.053,4,0.211,24,1.263,154,8.105,-,-,-
Agnes Scott,11324,2003,"Barnes, Zenovia",75579,So.,2002-03,G,5-5,22,28,157,17.834,9,53,16.981,13,19,68.421,80,3.636,12,0.545,1,0.045,9,0.409,78,3.545,-,-,-
Agnes Scott,11324,2003,"Bigham, Jane",283480,Fr.,2002-03,F,5-10,22,69,186,37.097,0,1,-,16,27,59.259,88,4.000,13,0.591,30,1.364,17,0.773,154,7.000,-,-,-
Agnes Scott,11324,2003,"Byrd, Erin",283483,Fr.,2002-03,G,5-9,6,23,82,28.049,11,18,61.111,15,22,68.182,19,3.167,13,2.167,0,-,8,1.333,72,12.000,-,-,-
Agnes Scott,11324,2003,"Cook, Jennifer",283479,Fr.,2002-03,F,5-8,16,16,50,32.000,0,0,-,8,18,44.444,38,2.375,3,0.188,4,0.250,7,0.438,40,2.500,-,-,-
Agnes Scott,11324,2003,"Craig, Toni",283481,Fr.,2002-03,G,5-4,22,20,105,19.048,0,1,-,22,43,51.163,106,4.818,45,2.045,4,0.182,29,1.318,62,2.818,-,-,-
Agnes Scott,11324,2003,"Draper, Denise",283485,Fr.,2002-03,F,5-9,18,11,47,23.404,0,0,-,15,24,62.500,44,2.444,2,0.111,1,0.056,6,0.333,37,2.056,-,-,-
Agnes Scott,11324,2003,"Frey, Gabrielle",283484,Fr.,2002-03,G,5-4,17,8,71,11.268,1,2,50.000,12,31,38.710,39,2.294,10,0.588,0,-,3,0.176,29,1.706,-,-,-
Agnes Scott,11324,2003,"Hicks, Tiffany",283477,Fr.,2002-03,G,5-6,2,0,1,-,0,0,-,0,2,-,3,1.500,0,-,0,-,2,1.000,-,-,-,-,-
Agnes Scott,11324,2003,"Karris, Kim",283478,Fr.,2002-03,G,5-5,22,31,141,21.986,8,38,21.053,17,30,56.667,75,3.409,9,0.409,2,0.091,22,1.000,87,3.955,-,-,-
Agnes Scott,11324,2003,"Means, Laura",75583,So.,2002-03,F,5-9,22,6,21,28.571,0,0,-,2,6,33.333,30,1.364,1,0.045,2,0.091,0,-,14,0.636,-,-,-
Agnes Scott,11324,2003,"Zoino, Kati",283482,Fr.,2002-03,G,5-9,22,6,79,7.595,0,2,-,1,13,7.692,36,1.636,2,0.091,1,0.045,6,0.273,13,0.591,-,-,-
Air Force,721,2003,"Butler, Alison",289183,Fr.,2002-03,C,6-2,27,32,99,32.323,5,23,21.739,23,30,76.667,78,2.889,11,0.407,16,0.593,13,0.481,92,3.407,-,-,-
Air Force,721,2003,"Childress, Janea",102968,Jr.,2002-03,F,6-0,28,23,58,39.655,0,0,-,8,12,66.667,41,1.464,3,0.107,1,0.036,8,0.286,54,1.929,-,-,-
