team,opponent,won,lost
38,55,26,59
38,56,34,34
38,57,30,72
38,58,56,60
38,59,74,155
38,60,30,29
38,61,27,33
38,62,37,67
38,63,106,199
38,64,36,26
39,40,942501,77829
39,41,5145,1659
39,42,1724,641
39,43,30872,19231
39,44,659,368
39,45,31294,26543
39,46,2762,1030
39,47,50768,90509
39,48,491,186
39,49,20640,48764
39,50,36,31
39,51,424,197
39,52,299,139
39,53,1458,744
39,54,181,85
39,55,3161,1623
39,56,81,56
39,57,1141,615
39,58,686,353
39,59,7830,8939
39,60,51,47
39,61,541,245
39,62,366,110
39,63,9994,14776
39,64,60,42
40,41,170,219
40,42,204,183
40,43,219,367
40,44,218,294
40,45,221,520
40,46,180,212
40,47,294,701
40,48,233,632
40,49,105,214
40,50,35,14
40,51,31,41
40,52,35,41
40,53,29,36
40,54,63,73
40,55,18,46
40,56,66,67
40,57,36,41
40,58,47,86
40,59,49,60
40,60,48,38
40,61,22,29
40,62,26,43
40,63,36,172
40,64,52,40
41,42,718568,301762
41,43,155608,514648
41,44,32812,15500
41,45,10062,41368
41,46,3504,3146
41,47,15114,112952
41,48,1166,1108
41,49,631,2331
41,50,21,12
41,51,66,61
41,52,70,70
41,53,105,192
41,54,63,37
41,55,155,361
41,56,34,27
41,57,156,210
41,58,81,86
41,59,277,893
41,60,26,28
41,61,69,69
41,62,77,58
41,63,356,1199
41,64,37,19
42,43,56933,210958
42,44,17719,16152
42,45,3204,20432
42,46,1754,2464
42,47,4047,40928
42,48,993,830
42,49,254,639
42,50,49,21
42,51,41,57
42,52,44,64
42,53,65,79
42,54,66,66
42,55,68,87
42,56,33,25
42,57,48,88
42,58,66,120
42,59,117,244
42,60,26,18
42,61,31,50
42,62,91,107
42,63,164,305
42,64,23,27
43,44,938147,82183
43,45,66203,121113
43,46,11938,5688
43,47,112729,404457
43,48,2140,1338
43,49,7520,27929
43,50,26,21
43,51,204,156
43,52,166,103
43,53,1056,667
43,54,147,82
43,55,1379,1226
43,56,37,48
43,57,706,441
43,58,289,227
43,59,4347,10091
43,60,37,19
43,61,340,200
43,62,170,83
43,63,4137,11676
43,64,63,26
44,45,1396,6016
44,46,1126,1930
44,47,1773,12224
44,48,1425,5762
44,49,140,296
44,50,38,32
44,51,25,35
44,52,36,54
44,53,36,51
44,54,54,60
44,55,43,53
44,56,55,55
44,57,36,58
44,58,62,56
44,59,45,90
44,60,79,67
44,61,27,40
44,62,168,52
44,63,121,166
44,64,62,60
45,46,0,191360
45,47,253608,554335
45,48,16186,4841
45,49,11377,33177
45,50,47,22
45,51,322,142
45,52,244,118
45,53,972,578
45,54,193,94
45,55,1388,1054
45,56,829066,73
45,57,989,525
45,58,476,278
45,59,5994,10905
45,60,81,68
45,61,800,298
45,62,295,128
45,63,6406,12218
45,64,60,54
46,47,23353,149889
46,48,8197,9921
46,49,538,928
46,50,25,10
46,51,63,59
46,52,77,78
46,53,71,90
46,54,44,65
46,55,121,167
46,56,34,39
46,57,57,99
46,58,133,144
46,59,149,270
46,60,42,30
46,61,50,70
46,62,76,91
46,63,221,475
46,64,38,37
47,48,981185,39145
47,49,68352,119225
47,50,33,41
47,51,727,290
47,52,358,158
47,53,3524,1138
47,54,342,147
47,55,4338,1809
47,56,102,61
47,57,2678,845
47,58,551,320
47,59,35715,21218
47,60,64,57
47,61,658,290
47,62,490,174
47,63,34932,36533
47,64,75,46
48,49,76,204
48,50,68,102
48,51,20,27
48,52,22,53
48,53,21,34
48,54,34,43
48,55,20,48
48,56,33,53
48,57,16,36
48,58,17,55
48,59,28,68
48,60,27,49
48,61,15,24
48,62,31,56
48,63,43,120
48,64,136,371
49,50,1003200,17130
49,51,550220,28273
49,52,401685,23022
49,53,319807,43232
49,54,116301,7001
49,55,374923,54565
49,56,33443,2633
49,57,32611,7515
49,58,13206,2692
49,59,216422,124559
49,60,1081,381
49,61,12229,2819
49,62,8106,1716
49,63,251082,168473
49,64,1086,496
50,51,2017,3696
50,52,6638,4779
50,53,411,556
50,54,547,667
50,55,473,669
50,56,4619,713
50,57,95,103
50,58,108,115
50,59,120,152
50,60,172,149
50,61,71,84
50,62,82,104
50,63,166,227
50,64,3986,316
51,52,584206,436124
51,53,5091,7120
51,54,3317,1789
51,55,4764,7227
51,56,1708,953
51,57,664,791
51,58,514,455
51,59,1000,3948
51,60,125,132
51,61,333,338
51,62,337,261
51,63,1297,4442
51,64,135,108
52,53,2984,5145
52,54,2968,2005
52,55,3927,7521
52,56,1665,1586
52,57,381,689
52,58,499,532
52,59,663,2645
52,60,182,149
52,61,295,364
52,62,565,460
52,63,875,2938
52,64,184,123
53,54,717925,302405
53,55,295350,312695
53,56,88996,20884
53,57,2040,1712
53,58,1172,702
53,59,5128,15871
53,60,183,130
53,61,1127,772
53,62,758,395
53,63,6159,19591
53,64,199,114
54,55,77184,141374
54,56,57411,26436
54,57,413,772
54,58,303,372
54,59,752,2848
54,60,142,136
54,61,171,274
54,62,443,452
54,63,771,3233
54,64,218,162
55,56,826603,193727
55,57,2699,1750
55,58,1925,940
55,59,7427,15059
55,60,239,147
55,61,1685,918
55,62,1165,517
55,63,10261,24949
55,64,168,133
56,57,160,303
56,58,169,246
56,59,303,887
56,60,182,207
56,61,121,196
56,62,357,318
56,63,372,1145
56,64,211,708
57,58,702129,318201
57,59,144986,534828
57,60,17067,5248
57,61,9062,5314
57,62,8763,3834
57,63,33535,99267
57,64,1338,940
58,59,62047,230395
58,60,14771,10988
58,61,5307,4837
58,62,4451,3644
58,63,12426,43533
58,64,1766,854
59,60,972256,48074
59,61,47501,10449
59,62,39115,7316
59,63,307919,348662
59,64,3249,1012
60,61,671,1197
60,62,966,1242
60,63,1106,4519
60,64,994,5541
61,62,543388,476942
61,63,72787,453771
61,64,11551,5279
62,63,59112,397196
62,64,10219,10415
63,64,982866,37464
